compound_reference,compound_name,MDS_coord1,MDS_coord2,T_density,aSite_heterogeneity
MOXKUG,BIF-2Li-dia-c-b,-0.6446877302169040,-0.3661854158734620,76.58247034659,0.758731252980236
MUCLIG,BIF-2Cu-dia-c-b,-0.5590458661004380,0.7148518122847360,75.1188051252233,0.765815353673529
MUCLOM,BIF-3Li-sod-b,-0.8359582765865670,0.415748867269636,53.1387038099252,0.78705903356589
MOXJOZ,BIF-3Cu-sod-b,-0.7972959123530710,0.4594243381539020,53.4878279452196,0.777142237891337
MOXJEP,BIF-1Li-zni-b,-0.5272961805349290,0.9181614616525210,98.2207153952191,0.790374565971145
MOXJIT,BIF-1Cu-zni-b,-0.5212721513494120,-0.8038893411059470,99.4082012932468,0.781228102077585
