compound_reference,compound_name,MDS_coord1,MDS_coord2,T_density,aSite_heterogeneity
ICSD15907,Ice-II,-0.878694386502489,-0.7838823611577010,40.3149326559653,0.120305985675889
ICSD44102,Ice-VIII,-0.8410314126301830,-0.7922555278641280,49.8347072364191,0.000732421831344253
ICSD49810,Ice-IX_fully_ordered_model,-0.9068768443003520,-0.7749158160889640,35.5327374625564,0.375651132603815
FHYYI2005,Ice-XI,-0.8611671942471170,-0.789424579886165,26.3823930761584,0.1932031662125
ICSD155542,Ice-XIII,-0.8653907251115330,-0.7718710947556200,34.7152493431636,0.174072476060395
ICSD166447,Ice-XV,-0.9129499106621280,-0.7356164421918720,31.032994445867,0.274894401485307
