compound_reference,compound_name,MDS_coord1,MDS_coord2,T_density,aSite_heterogeneity
VEJZOA,Zn(bIm)2-rho,0.27806544709097500,-0.19304577964561300,56.37716765767950,0.000863167344830253
VEJZUG,Co(bIm)2-rho,0.3167453760805300,-0.19901973786367000,56.71832338447580,0.000976562365394775
WOJGEI,Zn(Ica)2-sod,0.5085966261325170,0.22321431156486600,70.29949170819500,0.00124487761687288
AKUGES,Zn(bIm)2-sod,0.11358850124308500,-0.10420829280230100,73.9972360074581,0.00107758353407672
CUIMDZ01,Cu(Im)2-sod,-0.3747063963646000,-1.1229891413928700,137.05598840339500,0.000790873357423385
GITTIN,Co(nIm)2-sod,0.4932168616488350,0.25484149828638900,69.86751367321600,0.000345266962421727
GITTOT,Co(mIm)2-sod,0.49882256668147800,0.23522739612952100,70.34746531493110,0.000345266962421727
MECWEX,Zn(mIm)2-sod,0.5004561529933070,0.23366696733901200,70.29425365010590,0.00103580088726518
VEJZEQ,Co(bIm)2-sod,0.37926061342809500,0.3690949825911560,71.03928804198560,0.00119911192147002
VELVIS,Zn(bIm)2-sod,0.09977082574985360,-0.0033867599443650500,71.27058389497380,0.000918310997540726
VELVOY,Zn(mIm)2-sod,0.5011138834272850,0.23144352171807500,70.3707683049101,0.00124487761687288
HICGEG,Zn(Im)2-zec,0.17544670342962200,-0.5951844739736610,83.20908863798530,0.627171475159605
GITTAF,Zn(Im)(mIm)-zni,-0.11545475833651600,-1.1222833419805200,131.70229229871500,0.000813165951968194
IMIDZB,Zn(Im)2-zni,-0.08612547150556430,-1.0920773430380100,126.9702256690420,0.170550739079152
IMZYCO01,Co(Im)2-zni,-0.09284116867344200,-1.0810512981983000,125.90785309574500,0.232427818348851
