compound_reference,compound_name,MDS_coord1,MDS_coord2,T_density,aSite_heterogeneity
QOSYAZ,TIF-4-cag,0.4237360551945100,-0.3930293242236340,97.020391087636,0.267272874476004
QOSYIH,TIF-5Zn-gis,0.3028100607993930,-0.04723643976420340,74.6816054584918,0.000953399512905375
QOSYED,TIF-5Co-gis,0.28925888728982300,-0.05430546820034840,75.6875550919962,0.000795800989194621
QOSXUS,TIF-3-gis,-0.5072701116296000,0.043191047499227500,62.7972341468465,0.370023178427008
QOGPIM,TIF-1Zn-zea,-0.1433656547648110,-0.38485409048059900,42.7966951857638,0.440466183834075
QOSXOM,TIF-2-zeb,0.10052410033484200,-0.28972593273261800,60.9942702674287,0.264771916681121
