compound_reference,compound_name,MDS_coord1,MDS_coord2,T_density,aSite_heterogeneity
ERS-7,ERS-7,0.16902341219513400,0.3744870430175020,66.17518146586650,0.23173903219403100
EU-12,EU-12,0.3227261628234490,0.27775054229590100,73.68229860901520,0.23146444933129500
ECR-34,ECR-34,0.549959063029133,-0.32640197327942500,64.97511028187010,0.3436101852522680
EU-1,EU-1,0.04801736267977380,0.4617792330809930,66.94680362018610,0.3626248133462520
ZSM-50,ZSM-50,-0.9511896340208220,0.18776971334126600,50.60489621504010,0.322071378142928
EMM-26,EMM-26,-0.0036258004600764300,0.003394888010032080,64.3303401253893,0.4226588380454670
EMM-3,EMM-3,-0.5614365301639350,0.13971498280034100,56.605276612728100,0.7199022310671820
Farneseite,Farneseite,-0.30499826872434300,0.5104855100324290,61.10915074604450,0.4578855779314910
Faujasite,Faujasite,0.6061102137595860,-0.2612945251734560,56.17883762187660,0.0009689029422018630
Na-X,Na-X,0.11233079114834400,-0.12869750060446100,51.09670277692430,0.37641308970523200
Na-Y,Na-Y,0.5602331780129100,-0.16652992896128000,54.81522529630320,0.000982267711985631
Li-LSX,Li-LSX,0.48835521856220800,-0.4672613574596860,55.00482451190090,0.27038685020226600
Ferrierite,Ferrierite,0.0702559022401617,0.3872198551461130,68.19614002305300,0.24665423160314
Ferrierite(Siliceous),Ferrierite(Siliceous),0.09226370589763320,0.3134951885736130,69.79105108824800,0.2593008715001380
Franzinite,Franzinite,-0.47322231743938000,0.5100058394148680,58.38922415195830,0.4641629490916090
Gismondine,Gismondine,-0.12676810928201400,0.1741302056266740,63.18715808652840,0.456178389631213
Amicite,Amicite,-0.11567854112731600,0.08341205222336830,63.11217526880920,0.46206037588244400
Garronite,Garronite,0.5037741709954670,0.04009539234362390,68.69580116772880,0.14215707626484800
Gobbinsite,Gobbinsite,0.07196273198914790,0.1007135425621650,63.92407933993680,0.16004752387780700
MAPO-43,MAPO-43,-0.7082385220841930,0.21480604409627300,52.464282859434000,0.7522486928394810
Na-P1,Na-P1,-0.30939526831652300,0.13956614415504600,59.569507780808300,0.319497123835603
Giuseppettite,Giuseppettite,-0.3274222075808780,0.43264212958972200,61.0095769467932,0.3877970493620730
Gmelinite,Gmelinite,0.5360215851546260,-0.03248396367210320,64.18175184721650,0.0009542674321792160
GUS-1,GUS-1,0.39331429554704100,0.2249940266456480,75.59776440606580,0.24266890290171400
Goosecreekite,Goosecreekite,-0.12250887201410000,-0.005644686426842050,67.31023367289420,0.44712291163095500
Heulandite,Heulandite,0.373845329098491,0.1325172487836380,70.22531218524250,0.2967900583612150
Clinoptilolite,Clinoptilolite,-0.9504619876391390,0.11877600550683200,49.91809287223610,0.3215808870823620
ITQ-51,ITQ-51,-0.5567328779394110,-0.032297241870668600,56.12133269962980,0.7505340868994200
ITQ-4,ITQ-4,0.0630931427635891,0.12416444878703200,63.18871415281820,0.26496619922818600
ITQ-52,ITQ-52,0.4700272582559000,0.15266963043489800,65.97615016493430,0.3764810486246080
SSZ-87,SSZ-87,0.1515195385056110,0.24437046879581200,62.82323510420970,0.36065324336960500
ITQ-50,ITQ-50,0.48296817729426000,-0.17697529763711600,70.20082069104070,0.3434643894401440
ITQ-32,ITQ-32,0.2745280101202190,0.3518864859560950,72.02164089074420,0.3903374356511850
IM-5,IM-5,0.25949299527619400,0.2676194454154450,69.4256267039203,0.3077547048938040
ITQ-49,ITQ-49,0.4515251582841630,0.10769119965343200,63.467553683554200,0.3014520941665110
ITQ-44,ITQ-44,-0.3162638891295980,-0.06773609404507730,40.58310312569030,0.437064055146594
ITQ-7,ITQ-7,0.04888893303577000,0.20117422579676400,56.226593871259600,0.299017433549268
ITQ-3,ITQ-3,-0.2786351117761180,0.2925642724207000,55.9837798129186,0.2311073722828250
ITQ-38,ITQ-38,0.16373483973526100,0.14864873335060800,64.28518382350100,0.36131983215775300
ITQ-13,ITQ-13,-0.31627330084187800,0.3462525090476360,60.59284871146570,0.32211611946100900
ITQ-34,ITQ-34,0.30887213542588200,0.2743473436388520,69.3753441146722,0.356773265528356
ITQ-12,ITQ-12,0.38972960727408400,0.14977196932084300,71.69116782210940,0.2561172959334880
ITQ-24,ITQ-24,-0.06084569523084660,0.16500390505877200,58.050021920369600,0.39104876318131600
ITQ-26,ITQ-26,-0.028844808071762000,0.040873796175615900,54.52073382109190,0.41597283194740300
ITQ-27,ITQ-27,0.05207157701978960,0.3385992711082510,58.884497680997300,0.44981669454135100
ITQ-22,ITQ-22,0.11387902813631100,0.0969242571382698,64.36935761330150,0.4580555678118030
JU92-300,JU92-300,-0.6052366884030180,0.5285530491566310,61.69542553045390,0.8114758029185490
LSJ-10,LSJ-10,0.739652349362792,-0.14502449490377300,69.84675809883890,0.35263514495353800
CoAPO-CJ69,CoAPO-CJ69,-0.6900462719130910,0.4282629858429770,55.59226263703100,0.8105712673907340
JU-64,JU-64,0.6521623458115550,-0.5563138904852200,50.81766990457470,0.4402959518547120
GaGeO-CJ63,GaGeO-CJ63,0.8394823859958440,-0.4239592010945420,57.877208007975600,0.22536849890683600
CoAPO-CJ62,CoAPO-CJ62,-0.7564604241478020,-0.06148060299131680,59.92956206247270,0.8487701700103920
(CsK)-ZK-5,(CsK)-ZK-5,0.5067629255844420,0.015202177378634100,62.74703336207180,0.0010559844893484300
Laumontite,Laumontite,-0.7460840011995160,0.0663674220766244,55.35505700964910,0.470667029445652
Leonhardite,Leonhardite,0.1423623152136080,-0.28013173680983700,72.5749045294402,0.4271854948005140
CoGaPO,CoGaPO,-0.6877289445867280,-0.2941620270293140,58.23402571316330,0.8655008985480250
Levyne,Levyne,0.5168916808804880,0.02554195776281420,66.6364205225279,0.24038051575257400
Nu-3,Nu-3,0.3884103044553530,0.11400814405152200,64.17797615287290,0.26585662130699900
Liottite,Liottite,-0.16418029407409900,0.49062705746838100,63.627550176250800,0.45312964721317900
Losod,Losod,0.21766136144676600,0.28606898229838500,68.50535957422050,0.11950004892739200
Lovdarite,Lovdarite,0.02649571536874650,-0.212839668863589,69.69444467335170,0.46642305347506000
Linde-Type-A,Linde-Type-A,-0.16254182137167500,0.38675092150258800,51.74426017765880,0.4928621385055060
LZ-135,LZ-135,0.46948034629465600,-0.0616824939213777,69.95483909960180,0.37738967524103500
Linde-Type-J,Linde-Type-J,-0.8647569022955640,0.08617940684318630,56.688798256088300,0.6820737846173360
Linde-Type-L,Linde-Type-L,-0.3418685947465170,0.09649262609880270,58.46947236344240,0.38653668518323900
Perlialite,Perlialite,0.3274015167473890,-0.25015117797825100,67.0631963619274,0.4070367367798040
NaZ-21,NaZ-21,-0.19749931000811100,0.3485328512047210,61.00223553500650,0.5022751590235440
Mazzite,Mazzite,0.5585960539027720,-0.1126702292791270,69.61024201105730,0.3771673679031790
ZSM-18,ZSM-18,0.22127674517528900,0.08963189030427610,55.95835592432980,0.2995550701015300
ZSM-11,ZSM-11,-0.4906359072891800,0.3705116024746710,58.643746494046300,0.30615295919443500
ZSM-11(Siliceous),ZSM-11(Siliceous),0.21183931440259000,0.33488100424207600,68.28623228103880,0.21665927945578200
Melanophlogite,Melanophlogite,0.21923306014437500,0.5808194496100530,73.18445495999090,0.1658292987246670
Merlinoite,Merlinoite,0.5725567177092390,-0.08006332311422650,69.9905000214682,0.1775387333517160
BaClAPO,BaClAPO,0.4840990263941160,-0.08229359444901420,68.86117984859470,0.000976562384494166
ZSM-5,ZSM-5,-0.9479903951118340,0.1557550771857060,50.71770463035630,0.17782334245791700
ZSM-57,ZSM-57,0.36528599319034600,0.26669512737024300,71.4019316322695,0.25065402884102300
Montesommaite,Montesommaite,0.2173053449681550,0.2445143550302600,71.49121558397560,0.0009841621883220920
Mordenite,Mordenite,0.23293168428751500,0.2282085070857880,68.79263716751180,0.2342512601375720
ZSM-10,ZSM-10,-1.0747235140860800,-0.19087933554048800,41.92883807048030,0.3251656028884890
ZSM-43,ZSM-43,0.17526220990254700,0.033777389892912600,68.18090524145050,0.2497997931376150
MCM-68,MCM-68,0.16230109294825800,-0.06628635500902770,65.88327591270300,0.4466298364699580
MCM-35,MCM-35,-0.011622470554199500,0.3775381275925510,75.30923042273190,0.3128842284277020
Dodecasil-3C,Dodecasil-3C,-0.1324725527259990,0.6682327076069750,66.12823238609710,0.15905701925426200
ZSM-23,ZSM-23,0.4010667566303760,0.2426568643187380,78.38443049790260,0.2782912776917460
ZSM-12,ZSM-12,-0.12054049050149100,0.28088413113557100,68.94846884506340,0.2693297186562000
MCM-70,MCM-70,-0.3396581565433940,-0.1858232646083940,70.67634298388030,0.5595856683050320
ZSM-25,ZSM-25,0.3259700447952670,0.021749965241103100,64.81732327745460,0.25261580655168600
ITQ-1,ITQ-1,0.24771032761155900,0.40262297908694900,63.35059171058690,0.49793011876239600
Nabesite,Nabesite,0.7055529160852280,0.12190396464864700,67.73268981703770,0.34580799843181700
