compound_reference,compound_name,MDS_coord1,MDS_coord2,T_density,aSite_heterogeneity
ICSD92583,alpha-BeCl2,0.048515790661859800,1.2753010585287400,122.78267403655100,0.0010358008872651800
ICSD92586,beta-BeCl2,-0.32305632025553100,-1.1464753779788600,130.74684473972100,0.0009435805091635830
ICSD26154,alpha-ZnCl2,-0.5118779235955450,1.1829782831330600,162.63955745348500,0.0007720403983598480
ICSD26153,beta-ZnCl2,-0.39382377810558400,1.210275731767130,160.43924472191000,0.2257312863860470
ICSD26152,gamma-ZnCl2,-0.5711029642881500,1.155460338669090,162.4205810302720,0.0010358008872651800
ICSD291208,SiS2,-0.031551062329959500,1.2765667190034400,131.66549581940800,0.0010358008872651800
FUBYUW,LiCo(CO)4,-0.6775699796164970,-1.0277591960213600,145.73829326646400,0.31890456414891200
